指标名称,指标值,指标类型,单位,时间范围
门诊人次,838723,门诊指标,人次,2025-11
专家挂号人次,117250,门诊指标,人次,2025-11
普通专科挂号人次,35113,门诊指标,人次,2025-11
互联网挂号人次,99055,门诊指标,人次,2025-11
诊间挂号人次,171341,门诊指标,人次,2025-11
初诊人次,154702,门诊指标,人次,2025-11
复诊人次,684021,门诊指标,人次,2025-11
总门诊次均费用,568.53,门诊指标,元,2025-11
总门诊次均药费,251.31,门诊指标,元,2025-11
门诊药占比,44.2,门诊指标,%,2025-11
出科人次,23993,住院指标,人次,2025-11
出科患者平均住院日,6.32,住院指标,天,2025-11
床位使用率,95.8,住院指标,%,2025-11
病床周转次数,4.12,住院指标,次,2025-11
入出院诊断符合率,98.5,质量指标,%,2025-11
手术人次,12856,手术指标,人次,2025-11
四级手术占比,42.3,手术指标,%,2025-11
微创手术占比,35.6,手术指标,%,2025-11
急诊人次,45678,急诊指标,人次,2025-11
急诊抢救成功率,96.2,急诊指标,%,2025-11
住院患者满意度,92.5,满意度指标,%,2025-11
门诊患者满意度,89.3,满意度指标,%,2025-11
医疗收入,45678.9,收入指标,万元,2025-11
药品收入,18765.4,收入指标,万元,2025-11
耗材收入,8976.5,收入指标,万元,2025-11
